	Number	lat	long	country
Norway University of Oslo	1	59.9399586	10.7217496	Norway
University of Southampton	11	50.9365797	-1.3960169	United Kingdom
International University Bremen	2	53.16771689999999	8.6542654	Germany
University Pablo Olavide	1	37.3552405	-5.937404099999999	Spain
History Edge Hill University	2	53.5596834	-2.8738498	United Kingdom
University Navarra	2	42.8014859	-1.6597295	Spain
Washington State University Libs	1	46.730882	-117.163458	United States
Tech University Clausthal	1	51.80454	10.33415	Germany
Cent Michigan University	3	43.5819086	-84.7756364	United States
Anglia Polytech University	1	52.2032672	0.1345112	United Kingdom
University of Chester	2	53.20027109999999	-2.8991705	United Kingdom
University of West England	1	51.5001344	-2.5475301	United Kingdom
Universityersità Degli Studi Lorientale	1			
University Amsterdam	13	52.35581819999999	4.955726299999999	Netherlands
University So Denmark	3	55.3706746	10.4280673	Denmark
Catholic University of America	2	38.9368811	-76.99869199999999	United States
University Warwick	10	52.3792525	-1.5614704	United Kingdom
University Zurich	2	47.3743221	8.550981199999999	Switzerland
Florida State University College of Law	1	30.4390929	-84.2868109	United States
